developer_id,cluster,persona,avg_study_hour,study_consistency_std,completion_speed,avg_exam_score,submission_fail_rate,retry_count
791882,3,The Consistent,10.0,1.0,0.56,62.5,0.0,0.0
791882,3,The Consistent,19.666666666666668,0.0,0.56,90.0,0.0,0.0
791882,0,The Sprinter,6.315789473684211,160.5,0.0,80.0,0.0,2.0
791882,3,The Consistent,16.9,0.0,0.56,41.66666666666666,0.0,0.0
791882,3,The Consistent,15.714285714285714,1.699673171197595,0.56,95.71428571428572,0.0,0.0
791882,3,The Consistent,16.857142857142858,14.771171246722448,0.56,100.0,0.0,0.0
791882,3,The Consistent,9.714285714285714,0.0,0.56,80.0,0.0,0.0
791882,3,The Consistent,12.87719298245614,108.5,0.56,75.0,0.0,0.0
791882,3,The Consistent,18.695652173913043,5.0,0.56,71.66666666666667,0.0,0.0
791882,3,The Consistent,21.5,0.0,0.56,60.0,0.0,0.0
791882,3,The Consistent,20.2,0.0,0.56,49.333333333333336,0.0,0.0
791882,3,The Consistent,16.5,0.0,0.56,83.84615384615384,0.0,0.0
791882,3,The Consistent,16.65573770491803,109.17765339115876,0.8571428571428571,95.75,1.0,1.0
791882,3,The Consistent,20.207920792079207,86.76532845683363,0.56,77.77777777777777,0.0,0.0
791882,0,The Sprinter,5.473684210526316,0.0,0.0,60.0,0.0,1.0
791882,3,The Consistent,18.153846153846157,126.6060900621148,0.56,85.71428571428571,0.0,0.0
791882,3,The Consistent,12.90277777777778,35.836046408919366,0.9181818181818182,96.66666666666669,1.0,1.0
791882,3,The Consistent,19.84210526315789,0.0,0.56,83.84615384615384,0.0,0.0
791882,0,The Sprinter,10.1,0.0,0.0,95.625,0.0,1.0
791882,3,The Consistent,13.4,0.0,0.56,83.84615384615384,0.0,0.0
791882,0,The Sprinter,14.025641025641026,0.0,0.0,97.5,0.0,1.0
791882,3,The Consistent,17.0,0.0,0.56,83.84615384615384,0.0,0.0
791882,3,The Consistent,15.8,1.5,0.56,83.84615384615384,1.0,0.0
791882,3,The Consistent,14.875,6.5,0.4444444444444444,93.0,1.0,1.0
791882,3,The Consistent,5.4,0.9428090415820634,0.56,83.84615384615384,0.0,0.0
791882,3,The Consistent,5.8,0.0,0.56,60.0,0.0,0.0
791882,3,The Consistent,14.630434782608695,6.5,0.75,82.46153846153847,0.0,2.0
791882,3,The Consistent,15.857142857142858,6.69991708074726,0.56,87.14285714285714,0.0,0.0
791882,3,The Consistent,13.5,4.816637831516919,0.56,96.0,0.0,0.0
791882,3,The Consistent,21.0,0.0,0.56,80.33333333333333,0.0,0.0
791882,3,The Consistent,10.0,0.0,0.56,87.0,0.0,0.0
791882,4,The Night Owl,11.0,0.0,2.6666666666666665,98.0,0.0,1.0
791882,3,The Consistent,13.4468085106383,2.160246899469287,0.6,96.42857142857144,0.0,1.0
791882,3,The Consistent,14.652173913043478,0.0,0.4,100.0,0.0,1.0
791882,3,The Consistent,18.0,0.0,0.56,83.84615384615384,0.0,0.0
886996,0,The Sprinter,12.832167832167832,199.97727301426585,0.3428571428571428,88.63636363636364,1.0,2.0
886996,4,The Night Owl,11.961538461538462,271.5816820037758,1.45,83.84615384615384,1.0,1.0
886996,0,The Sprinter,18.807692307692307,154.95112132540376,0.1166666666666666,81.25,1.0,1.0
